iter	Passed	Remaining
0	0	6576
1	1	5199
2	1	4815
3	2	4394
4	3	5126
5	3	4993
6	4	4773
7	4	4583
8	5	4696
9	6	4891
10	6	4773
11	7	4730
12	7	4648
13	8	4584
14	9	4633
15	9	4728
16	10	4872
17	11	4883
18	14	5679
19	14	5537
20	15	5463
21	16	5692
22	16	5579
23	17	5572
24	18	5557
25	19	5608
26	19	5517
27	19	5422
28	20	5345
29	21	5340
30	21	5261
31	21	5186
32	22	5220
33	23	5189
34	23	5129
35	24	5104
36	24	5101
37	25	5088
38	26	5103
39	27	5169
40	27	5147
41	28	5113
42	28	5062
43	29	5044
44	29	5024
45	30	4979
46	30	4980
47	31	5002
48	33	5196
49	34	5236
50	34	5190
51	35	5163
52	37	5416
53	38	5444
54	39	5407
55	39	5377
56	40	5341
57	40	5344
58	41	5355
59	42	5319
60	42	5305
61	43	5264
62	43	5260
63	44	5269
64	45	5267
65	45	5258
66	46	5258
67	47	5230
68	47	5200
69	48	5190
70	48	5171
71	49	5160
72	49	5143
73	50	5149
74	51	5170
75	51	5140
76	52	5137
77	52	5106
78	53	5114
79	54	5117
80	54	5088
81	55	5080
82	56	5108
83	56	5101
84	57	5090
85	57	5074
86	58	5056
87	58	5034
88	59	5037
89	60	5025
90	60	5009
91	61	5004
92	61	5002
93	64	5154
94	64	5144
95	65	5160
96	66	5151
97	66	5143
98	67	5131
99	68	5134
100	68	5130
101	69	5119
102	70	5150
103	70	5123
104	71	5137
105	72	5123
106	73	5140
107	73	5120
108	73	5094
109	74	5079
110	74	5072
111	75	5051
112	75	5039
113	76	5055
114	77	5051
115	77	5036
116	78	5035
117	79	5026
118	79	5031
119	80	5048
120	81	5035
121	81	5024
122	82	5029
123	83	5064
124	84	5054
125	85	5061
126	85	5064
127	86	5065
128	86	5048
129	87	5047
130	87	5030
131	88	5012
132	88	5002
133	89	4995
134	89	4988
135	90	4990
136	91	4992
137	91	4986
138	92	4988
139	93	4994
140	95	5082
141	96	5087
142	97	5082
143	97	5065
144	98	5057
145	98	5047
146	99	5050
147	100	5064
148	100	5048
149	101	5046
150	102	5071
151	102	5054
152	103	5041
153	103	5033
154	104	5028
155	104	5021
156	105	5012
157	105	5003
158	106	4986
159	106	4979
160	107	4985
161	108	4984
162	108	4986
163	109	5001
164	110	5002
165	110	4987
166	111	4972
167	112	4972
168	112	4960
169	113	4961
170	113	4965
171	114	4964
172	114	4952
173	115	4955
174	116	4945
175	116	4944
176	117	4936
177	117	4923
178	118	4928
179	119	4922
180	119	4927
181	120	4929
182	120	4918
183	121	4920
184	122	4915
185	122	4912
186	125	4976
